Cod.Departamento,Departamento,Cod.Municipio,Municipio,Agente,Bandera,Direccion,Producto,Precio,Estado,Registro,Periodo,Mes,Direccion_2,Full_Address,Coords
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO SERVICENTRO ESSO EL SOCIEGO,MOBIL,Carrera 10 No. 27-05 Sur,BIODIESEL EXTRA,8450,1,05/02/2018 12:00:00 AM,2018,5,Carrera 10 No. 27-05 Sur,"Carrera 10 No. 27-05 Sur, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO SERVICENTRO ESSO EL SOCIEGO,MOBIL,Carrera 10 No. 27-05 Sur,GASOLINA CORRIENTE OXIGENADA,9070,1,05/02/2018 12:00:00 AM,2018,5,Carrera 10 No. 27-05 Sur,"Carrera 10 No. 27-05 Sur, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO SERVICENTRO ESSO EL SOCIEGO,MOBIL,Carrera 10 No. 27-05 Sur,GASOLINA EXTRA OXIGENADA,11990,1,05/02/2018 12:00:00 AM,2018,5,Carrera 10 No. 27-05 Sur,"Carrera 10 No. 27-05 Sur, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO SERVICENTRO ESSO EL SOCIEGO,MOBIL,Carrera 10 No. 27-05 Sur,BIOACEM AL 9%,8450,1,05/02/2018 12:00:00 AM,2018,5,Carrera 10 No. 27-05 Sur,"Carrera 10 No. 27-05 Sur, Bogota d.c., Colombia","(""4° 15' 0.00000'' N"", ""74° 10' 59.98800'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO PETROBRAS IBERIA,PETROBRAS,AVENIDA CALLE 134 No. 53-51,BIOACEM AL 9%,7929,1,05/11/2018 12:00:00 AM,2018,5,AVENIDA CALLE 134 No. 53-51,"AVENIDA CALLE 134 No. 53-51, Bogota d.c., Colombia","(""4° 40' 26.73804'' N"", ""74° 2' 53.81556'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO PETROBRAS IBERIA,PETROBRAS,AVENIDA CALLE 134 No. 53-51,BIODIESEL EXTRA,7929,1,05/11/2018 12:00:00 AM,2018,5,AVENIDA CALLE 134 No. 53-51,"AVENIDA CALLE 134 No. 53-51, Bogota d.c., Colombia","(""4° 40' 26.73804'' N"", ""74° 2' 53.81556'' W"")"
11,BOGOTA D.C.,11001,BOGOTA D.C.,ESTACION DE SERVICIO PETROBRAS IBERIA,PETROBRAS,AVENIDA CALLE 134 No. 53-51,GASOLINA CORRIENTE OXIGENADA,8539,1,05/11/2018 12:00:00 AM,2018,5,AVENIDA CALLE 134 No. 53-51,"AVENIDA CALLE 134 No. 53-51, Bogota d.c., Colombia","(""4° 40' 26.73804'' N"", ""74° 2' 53.81556'' W"")"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO LOS MANGOS,MOBIL,CARRERA 64C No. 72-107,BIODIESEL EXTRA,8470,1,05/02/2018 12:00:00 AM,2018,5,CARRERA 64C No. 72-107,"CARRERA 64C No. 72-107, Medellin, Colombia","(""6° 18' 20.59200'' N"", ""75° 33' 37.27296'' W"")"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO LOS MANGOS,MOBIL,CARRERA 64C No. 72-107,GASOLINA CORRIENTE OXIGENADA,9140,1,05/02/2018 12:00:00 AM,2018,5,CARRERA 64C No. 72-107,"CARRERA 64C No. 72-107, Medellin, Colombia","(""6° 18' 20.59200'' N"", ""75° 33' 37.27296'' W"")"
5,ANTIOQUIA,5001,MEDELLIN,ESTACION DE SERVICIO LOS MANGOS,MOBIL,CARRERA 64C No. 72-107,GASOLINA EXTRA OXIGENADA,11990,1,05/02/2018 12:00:00 AM,2018,5,CARRERA 64C No. 72-107,"CARRERA 64C No. 72-107, Medellin, Colombia","(""6° 18' 20.59200'' N"", ""75° 33' 37.27296'' W"")"
